,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.87,341.87,341.87,341.87,341.87,341.87,341.87,341.87,341.87,341.87,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.92,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.91,341.91,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.88,341.87,341.87,341.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.88,341.87,341.87,341.87,341.87,341.86,341.86,341.86,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.92,341.91,341.91,341.91,341.91,341.91,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.9,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.89,341.88,341.88,341.88,341.88,341.88,341.87,341.87,341.87,341.87,341.86,341.86,341.86,341.86,341.85,341.85,341.85,341.85,,,,,,,,,,,,,,,,,,,,
